"A6_bulk_NoDrug" "C10_bulk_NoDrug"
"RP11-433C9.2" 0 0
"IL6STP1" 1.29425367356775 0.517992775036774
"CTC-301O7.4" 0.228397707100192 0.221996903587189
"DPY19L2P3" 9.89723397434165 6.88190401120285
"TDGF1P7" 0 0
"BAK1P2" 0 0
"RP4-680D5.8" 0 0
"CTD-3199J23.6" 0.380662845166987 0.0739989678623963
"TOPORSLP1" 0 0
"RUVBL1-AS1" 0.0761325690333973 0.221996903587189
"RP11-242D8.3" 0.609060552267178 0.221996903587189
"LINC00670" 0 0
"RP11-403N16.3" 0 0
"ACTA1" 0.304530276133589 0.369994839311981
"RP11-403N16.2" 0 0
"RP11-34F13.3" 0 0
"RP11-552D8.1" 0 0
"RP11-66B24.3" 0 0
"ENPP7P12" 0.304530276133589 0.147997935724793
"RP11-44F21.5" 0 0
"AC005041.11" 0 0
"MT1E" 1.14198853550096 0.0739989678623963
"NBR2" 4.64408671103724 2.95995871449585
"XX-FW80269A6.1" 0.0761325690333973 0
"UFM1" 28.3974482494572 20.9417079050581
"PLGRKT" 13.0186693047109 9.9158616935611
"RP11-379I19.1" 0 0
"RP11-756P10.1" 0 0
"FBXO4" 12.638006459544 6.58590813975327
"ZNF260" 6.62353350590557 8.73187820776276
"CES2" 66.9966607493896 51.9472754394022
"AC068831.10" 0.0761325690333973 0.221996903587189
"RP11-693N9.2" 0.152265138066795 0
"RP11-687F6.4" 0.152265138066795 0
"HMX3" 0.685193121300576 0.517992775036774
"AC093381.2" 0 0
"S100PBP" 38.142417085732 33.0775386344911
"ZBBX" 0 0
"GABRG3" 0.0761325690333973 0.0739989678623963
"FMNL2" 178.759272090417 132.902146280864
"ATE1-AS1" 0.532927983233781 0
"PRKAR2B" 18.195683998982 21.9036944872693
"CTD-2272G21.3" 0 0
"RP11-116D17.3" 0 0
"LINC00545" 0 0
"RP11-132J14.3" 0 0
"RP11-1437A8.3" 0 0
"MTCO1P42" 0 0
"SMAD5-AS1" 0 0
"THSD4-AS1" 0 0
"C11orf94" 0.152265138066795 0.0739989678623963
"RP11-66B24.5" 0 0
"FCRL5" 0 0
"AC005616.1" 0 0
"AC079466.1" 0 0
